category_code,brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate,min_price,max_price,avg_price
apparel.costume,defacto,21,2,0,0.0952,0,0,5.12,17.99,9.061818182
apparel.underwear,yamaha,21,1,1,0.0476,1,0.0476,119.17,1007.18,408.5303922
appliances.kitchen.blender,redmond,21,2,1,0.0952,0.5,0.0476,45.05,146.7,54.85603448
appliances.kitchen.hood,alteco,21,0,0,0,,0,17.63,165.77,56.99444444
appliances.kitchen.hood,dewalt,21,0,0,0,,0,68.73,551.43,259.5775221
appliances.kitchen.toster,altair,21,1,1,0.0476,1,0.0476,73.36,189.19,108.770303
construction.tools.drill,greyder,21,2,0,0.0952,0,0,61.78,113.77,78.53487805
construction.tools.pump,Unknown,21,0,0,0,,0,1.42,234.24,60.59163265
construction.tools.welding,a-case,21,0,0,0,,0,1.93,64.35,8.033571429
electronics.audio.headphone,dell,21,1,0,0.0476,0,0,339.6,2274.19,1273.745745
electronics.camera.photo,centek,21,1,1,0.0476,1,0.0476,10.27,78.21,31.88102564
electronics.clocks,jet,21,0,0,0,,0,28.29,33.44,32.41
Unknown,nexen,20,0,1,0,,0.05,32.95,80.45,47.40564103
Unknown,pirelli,20,2,0,0.1,0,0,35.65,376.97,113.9423913
Unknown,tigar,20,1,1,0.05,1,0.05,35.39,97.81,49.942
apparel.shoes,lg,20,2,4,0.1,2,0.2,83.91,385.85,163.7201408
apparel.shoes.keds,defacto,20,0,0,0,,0,7.7,23.14,12.402
apparel.shoes.sandals,creed,20,0,0,0,,0,203.08,383.54,264.5078788
apparel.shoes.sandals,versace,20,1,1,0.05,1,0.05,53.32,100.39,63.75025641
apparel.shoes.slipons,Unknown,20,1,1,0.05,1,0.05,0,163.2,55.74644068
apparel.shoes.slipons,prestigio,20,0,1,0,,0.05,50.94,128.45,63.54641026
apparel.trousers,glo,20,1,1,0.05,1,0.05,25.74,36.04,32.91878788
appliances.environment.vacuum,huter,20,0,0,0,,0,328.88,648.15,425.7004762
appliances.environment.vacuum,lg,20,2,0,0.1,0,0,54.16,669.23,136.7844643
appliances.environment.vacuum,vitek,20,0,1,0,,0.05,41.16,128.45,97.95487805
appliances.kitchen.blender,polaris,20,2,0,0.1,0,0,17.99,52,39.4318
appliances.kitchen.refrigerators,arg,20,1,1,0.05,1,0.05,90.07,424.7,148.7423529
construction.tools.welding,apple,20,0,0,0,,0,5.12,198.18,57.94785714
sport.trainer,intex,20,0,0,0,,0,8.73,101.33,59.28473684
Unknown,hifly,19,0,1,0,,0.0526,41.19,109.14,63.46909091
Unknown,scarlett,19,1,1,0.0526,1,0.0526,9.76,50.54,29.05830189
